species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
